name,region,themes,duration_min,cost,indoor,description,image
공산성,금성동,"역사유적,자연경관,포토존",90,3000,0,백제 웅진기 왕성으로 금강을 낀 성벽길이 대표 산책 코스,gongsanseong.jpg
공주무령왕릉과왕릉원,웅진동,역사,45,3000,0,백제 25대 무령왕의 능이 있는 왕릉군,muryeong.jpg
국립공주박물관,웅진동,"역사,체험",60,0,1,무령왕릉 출토 유물을 모아 놓은 국립박물관,gjmuseum.jpg
석장리박물관,석장리동,"역사,체험학습",60,1300,1,한반도 구석기 유적을 복원해 놓은 박물관,seokjangri.jpg
충청남도역사박물관,중동,역사,30,0,1,충남의 근현대 생활사를 모은 도립 박물관,cnhistory.jpg
마곡사,사곡면,"역사,자연경관,힐링",90,0,0,유네스코 세계유산 산사로 태화산 계곡을 낀 천년 사찰,magoksa.jpg
갑사,계룡면,"역사,자연",90,0,0,계룡산 서쪽 기슭의 고찰로 가을 단풍길이 유명,gapsa.jpg
동학사,반포면,"역사유적,자연",90,0,0,계룡산 동쪽의 비구니 수행 도량으로 봄 벚꽃길로 알려짐,donghaksa.jpg
신원사,계룡면,"역사,힐링",,0,0,계룡산 남쪽 자락의 조용한 사찰로 중악단이 있음,sinwonsa.jpg
천주교황새바위순교성지,금성동,"역사,휴식",45,0,0,조선 후기 순교자를 기리는 천주교 성지,hwangsae.jpg
공주한옥마을,웅진동,"역사,포토존",30,0,0,무령왕릉 옆 전통 한옥 단지로 야간 조명이 예쁨,hanok.jpg
유구색동수국정원,유구읍,"자연경관,포토존",45,0,0,유구천변 수국 군락으로 6~7월이 절정,yugu.jpg
계룡저수지,계룡면,"자연,휴식",45,0,0,계룡산을 배경으로 한 저수지 둘레길,gyeryongres.jpg
고마나루솔밭,웅진동,"자연경관,힐링,포토존",,0,0,금강변 곰나루 전설이 깃든 소나무숲,gomanaru.jpg
공주산림휴양마을,금학동,"자연,휴식",120,5000,0,수원지 위 숲속 휴양시설로 산책로와 쉼터가 있음,forestvil.jpg
공주산성시장문화공원,산성동,"휴식,포토존",30,0,0,산성시장 옆 작은 공원으로 벽화와 쉼터가 있음,sspark.jpg
공주목재문화체험장,금학동,체험학습,60,5000,1,나무로 소품을 만들어 보는 목공 체험 시설,woodexp.jpg
대장이랜드중장농촌체험휴양마을,계룡면,"체험,자연",120,15000,0,갑사 가는 길의 농촌 체험 마을,daejang.jpg
계룡산상신농촌체험휴양마을,반포면,"체험학습,자연경관",120,15000,0,계룡산 상신리의 돌담마을 농촌 체험,sangsin.jpg
아트센터고마,웅진동,"체험,휴식",45,0,1,공연과 전시가 함께 열리는 복합 문화공간,artgoma.jpg
임립미술관,계룡면,"포토존,휴식",45,5000,1,야외 조각공원을 낀 사립 미술관,imlip.jpg
이미정갤러리,반죽동,"포토존,힐링",30,0,1,원도심 골목의 작은 갤러리,imijeong.jpg
대통길작은미술관,반죽동,"사진스팟,체험",,0,1,제민천 대통길의 마을 미술관,daetong.jpg
자연미술관Ko,중동,"사진스팟,자연경관",45,3000,1,자연미술 작품을 모은 전시 공간,natureart.jpg
공주산성시장,산성동,"먹거리,체험학습",60,10000,0,공주 대표 전통시장으로 알밤과 먹거리 골목이 있음,ssmarket.jpg
개성집공주점,금성동,먹거리,45,12000,1,공산성 앞 한식당으로 해물 요리로 알려짐,gaeseong.jpg
고마나루1999,금성동,맛집,60,15000,1,공산성 인근 한정식집,gomanaru1999.jpg
공산성본가,금성동,먹거리,45,13000,1,공산성 앞 갈비탕 전문점,gsbonga.jpg
베이커리밤마을,금성동,"먹거리,포토존",30,8000,1,공주 알밤으로 만든 빵을 파는 베이커리,bammaeul.jpg
곡물집,봉황동,"먹거리,포토존,힐링",45,9000,1,원도심 골목의 곡물 디저트 카페,gokmul.jpg
공산성 ,금성동,"역사,자연,사진스팟",90,3000,0,백제 시대 산성으로 야경이 아름다움,gongsanseong.jpg
마곡사,사곡면,"역사,자연,휴식",90,0,0,춘마곡으로 불리는 봄 경치가 유명한 사찰,magoksa.jpg
